branch,product,max_gap_days
0007-ANJANEYA NAGER,FRESH PANEER BLOCK 200g AMUL,37.0
0007-ANJANEYA NAGER,FRUIT BASKET 120 SADGURU,inf
0007-ANJANEYA NAGER,FRUIT BASKET 170 SADGURU,33.0
0007-ANJANEYA NAGER,FRUIT BASKET 200,31.0
0007-ANJANEYA NAGER,FRUIT BASKET 240 SADGURU,inf
0007-ANJANEYA NAGER,FRUIT BASKET 250 RAJU,34.0
0007-ANJANEYA NAGER,FRUIT BASKET 350 RAJU,33.0
0007-ANJANEYA NAGER,FRUIT BASKET 450 SADGURU,57.0
0007-ANJANEYA NAGER,FRUIT BOWL NRG,35.0
0007-ANJANEYA NAGER,FlyberryAlmondRoastedSalted,inf
0007-ANJANEYA NAGER,FlyberryHazelnut,36.0
0007-ANJANEYA NAGER,FlyberryMelonSeeds,45.0
0007-ANJANEYA NAGER,FlyberryPeriPeriAlmond,inf
0007-ANJANEYA NAGER,FlyberryPrunes,78.0
0007-ANJANEYA NAGER,GAJANAN ORANGE PRM HMT RICE 1Kg,49.0
0007-ANJANEYA NAGER,GAJANAN ORANGE PRM HMT RICE 5Kg,34.0
0007-ANJANEYA NAGER,GARAM MASALA 100g VELLANKI FOODS,79.0
0007-ANJANEYA NAGER,GHEE 200ML PET JAR MILKY MIST,93.0
0007-ANJANEYA NAGER,GINGER PICKLE 250g AHA,71.0
0007-ANJANEYA NAGER,GINGER PICKLE 500g AHA,32.0
0007-ANJANEYA NAGER,GOLDEN KIWI FRUIT BIG,53.0
0007-ANJANEYA NAGER,GONGURA PANDU MIRAPAKAYA PICKLE  500g AHA,114.0
0007-ANJANEYA NAGER,GONGURA PANDU MIRAPAKAYA PICKLE 250g  AHA,64.0
0007-ANJANEYA NAGER,GONGURA PICKLE 250g  AHA,47.0
0007-ANJANEYA NAGER,GONGURA PICKLE 250g VELLANKI FOODS,52.0
0007-ANJANEYA NAGER,GONGURA PICKLE 500g  AHA,82.0
0007-ANJANEYA NAGER,GRAPE JUICE,68.0
0007-ANJANEYA NAGER,GREEK CEREALS YOGHURT 100g MILKY MIST,49.0
0007-ANJANEYA NAGER,GREEK HONEY AND FIG YOGHURT 100g MILKY MIST,69.0
0007-ANJANEYA NAGER,GREEK YOGURT MIXED BERRY ZERO ADDED SUGAR 120g EPIGAMIA,39.0
0007-ANJANEYA NAGER,GREEN PEAS BATANI 500G EVR,32.0
0007-ANJANEYA NAGER,GROUND NUT OIL 1Lt. COLD PRESSED MESMARA,45.0
0007-ANJANEYA NAGER,GUAVA HYBRID BIG ANAND,39.0
0007-ANJANEYA NAGER,GUAVA Local,45.0
0007-ANJANEYA NAGER,HAZELNUT CHOCOLATE SPREAD 200g,inf
0007-ANJANEYA NAGER,HEKATPY PEARL MILLET COOKIE 125g,inf
0007-ANJANEYA NAGER,HEKTAPY OAT COOKIES  125g,inf
0007-ANJANEYA NAGER,HOME DELIVERY CHARGES,inf
0007-ANJANEYA NAGER,HULLED WHITE SESAME OIL 1Lt. MESMARA,66.0
0007-ANJANEYA NAGER,IDLI POWDER AKA GUNDPOWDER AKA KARAM PODI PREMIUM KG LOOSE FLYBER,inf
0007-ANJANEYA NAGER,IGURU KARAM 100g VELLANKI FOODS,56.0
0007-ANJANEYA NAGER,IMLI POP KG FLYBERRY,39.0
0007-ANJANEYA NAGER,IMP ORANGE CANE,59.0
0007-ANJANEYA NAGER,IRANIAN DATES 500g ORIGINAL AM ENTERPRISES,42.0
0007-ANJANEYA NAGER,JEERA 100g,86.0
0007-ANJANEYA NAGER,JIVIKA CORIANDER POWDER 100GMS,66.0
0007-ANJANEYA NAGER,JIVIKA NATURALS PEANUT BUTTER500GMS,43.0
0007-ANJANEYA NAGER,JIVIKA RED CHILLI POWDER 500GMS,100.0
0007-ANJANEYA NAGER,JUBJUB GUAVA JUICE,70.0
0007-ANJANEYA NAGER,KARAM SAKINALU 250g  VELLANKI FOODS,61.0
0007-ANJANEYA NAGER,KARIVEPAKU KARAM 250g AHA,50.0
0007-ANJANEYA NAGER,KIMJO KIMIA DATES 400g ELEPHANT,77.0
0007-ANJANEYA NAGER,KINELY WATER 500ml,34.0
0007-ANJANEYA NAGER,KINLEY WATER 1Lt,38.0
0007-ANJANEYA NAGER,KNOOL COOL,56.0
0007-ANJANEYA NAGER,KOBBARI KARAM 250g AHA,69.0
0007-ANJANEYA NAGER,Kashmir Comb Honey 500g BT,48.0
0007-ANJANEYA NAGER,LAKSHMAN FRUIT ANAND,68.0
0007-ANJANEYA NAGER,LASSI BLUBERRY 180ml MILKYMIST,47.0
0007-ANJANEYA NAGER,LEMON JUICE,31.0
0007-ANJANEYA NAGER,LEMON PICKLE  250g AHA,72.0
0007-ANJANEYA NAGER,LEMON PICKLE 500g  AHA,34.0
0007-ANJANEYA NAGER,LETTUCE RED ENG ITEM SAMBERRY,40.0
0007-ANJANEYA NAGER,LETTUCE ROCKET ARUGULA KG ENGLISH ITEM SAMBERRY,inf
0007-ANJANEYA NAGER,LIME PICKLE 250g VELLANKI FOODS,44.0
0007-ANJANEYA NAGER,LOTUS TANGO 20G,82.0
0007-ANJANEYA NAGER,MAGAYA PICKLE 250GMS VELLANKI FOODS,38.0
0007-ANJANEYA NAGER,MAIDA 500g,42.0
0007-ANJANEYA NAGER,MALGUDI COFFEE 200g 60 DEGREES CONTINENTAL,47.0
0007-ANJANEYA NAGER,MANGO AVAKAYA 250g  AHA,104.0
0007-ANJANEYA NAGER,MANGO GINGER,78.0
0007-ANJANEYA NAGER,MANGO MAGAYA  250g AHA,85.0
0007-ANJANEYA NAGER,MANGO MAGAYA 500g AHA,58.0
0007-ANJANEYA NAGER,MASALA KARAM 250g AHA,inf
0007-ANJANEYA NAGER,MASTI BUTTER MILK 200ml AMUL tetra,39.0
0007-ANJANEYA NAGER,MILK BREAD 350g SPENCERS GOLDEN CRUST NANDA,inf
0007-ANJANEYA NAGER,MILLET DOSA BATTER 1Kg DSL,40.0
0007-ANJANEYA NAGER,MINI MEDJOUL FLYBERRY loose kgs,31.0
0007-ANJANEYA NAGER,MINUTE MAID PULPY 250 ML,63.0
0007-ANJANEYA NAGER,MODERN BURGER BUN,51.0
0007-ANJANEYA NAGER,MOONGDAL RICE RAWA 500G AISHWARYA,inf
0007-ANJANEYA NAGER,MULAGAKU KARAM 100g VELLANKI FOODS,52.0
0007-ANJANEYA NAGER,MUSTARD OIL 1Lt. MESMARA,65.0
0007-ANJANEYA NAGER,Mango Juices,113.0
0007-ANJANEYA NAGER,Mango Milk Shake,inf
0007-ANJANEYA NAGER,Moosambi Economy,inf
0007-ANJANEYA NAGER,NAGPUR ORANGE,129.0
0007-ANJANEYA NAGER,NAGPUR ORANGE JUICE,128.0
0007-ANJANEYA NAGER,NALLA KARAM 250g AHA,66.0
0007-ANJANEYA NAGER,NATURAL BROWN SUGAR 1Kg JIVIKA ORGANICS,48.0
0007-ANJANEYA NAGER,NATURAL COW GHEE 500ml JIVIKA ORGANICS,56.0
0007-ANJANEYA NAGER,NUVULA KARAM FLYBERRY,inf
0007-ANJANEYA NAGER,ONION WHITE,63.0
0007-ANJANEYA NAGER,ORANGE DRAGES KG LOOSE FLYBERRY,inf
0007-ANJANEYA NAGER,ORANGE JUICE,inf
0007-ANJANEYA NAGER,PANDU MIRAPAKAI PICKLE 500g AHA,71.0
0007-ANJANEYA NAGER,PANDUMIRAPAKAYA 250g PICKLE AHA,50.0
0007-ANJANEYA NAGER,PAPPAYA JUICE,32.0
0007-ANJANEYA NAGER,PARSLEY PACK,inf
0007-ANJANEYA NAGER,PASTEURISED BUTTER 100g AMUL,47.0
0007-ANJANEYA NAGER,PEANUT OIL 1LT COLD PRESSED JIVIKA ORGANICS,40.0
0007-ANJANEYA NAGER,PGB SOYA CHUNKS 200G MEDIUM,37.0
0007-ANJANEYA NAGER,PGB SOYA CHUNKS SMALL 200G,39.0
0007-ANJANEYA NAGER,PHOOL MAKHANA 250g,inf
0007-ANJANEYA NAGER,PISTA FLAVOURED MILK 200ML HERITAGE,36.0
0007-ANJANEYA NAGER,PLAIN CUP PAPAD 200G EVR,51.0
0007-ANJANEYA NAGER,POOJA OIL 500ML,56.0
0007-ANJANEYA NAGER,POPU SEEDS LOOSE,inf
0007-ANJANEYA NAGER,PREMIUM FREEZE DIRED COFFEE 50gm JAR CONTINENTAL,58.0
0007-ANJANEYA NAGER,PRM HMT RICE 26KG BAG GAJANAN,45.0
0007-ANJANEYA NAGER,PROSO MILLET VARIGALU 500g,37.0
0007-ANJANEYA NAGER,PULIHORA PASTE 250G VELLANKI FOODS,35.0
0007-ANJANEYA NAGER,PUTNALU KOBBARIKARAM 250g AHA,112.0
0007-ANJANEYA NAGER,QUINOA SEEDS KGS FLYBERRY,inf
0007-ANJANEYA NAGER,RASAM PODI 100g VELLANKI FOODS,37.0
0007-ANJANEYA NAGER,RAW HONEY 500g BT ROYAL BEE PON,34.0
0007-ANJANEYA NAGER,RED RICE 1KG,35.0
